iter	Passed	Remaining
0	146	146687
1	148	74204
2	150	50152
3	153	38114
4	155	30846
5	157	26106
6	159	22598
7	160	19949
8	162	17875
9	164	16241
10	165	14845
11	166	13702
12	167	12734
13	169	11924
14	170	11215
15	172	10585
16	173	10014
17	174	9528
18	175	9073
19	177	8677
20	178	8308
21	179	7982
22	180	7670
23	181	7397
24	183	7154
25	184	6923
26	186	6710
27	187	6500
28	188	6309
29	189	6125
30	190	5962
31	191	5806
32	193	5659
33	194	5519
34	195	5391
35	196	5266
36	197	5146
37	198	5032
38	199	4922
39	200	4818
40	201	4720
41	202	4627
42	203	4538
43	205	4457
44	206	4379
45	207	4306
46	208	4232
47	209	4159
48	210	4090
49	211	4025
50	213	3966
51	214	3902
52	215	3845
53	216	3787
54	217	3733
55	218	3681
56	219	3632
57	220	3585
58	221	3536
59	222	3490
60	223	3444
61	224	3401
62	225	3357
63	226	3314
64	227	3275
65	228	3237
66	229	3200
67	230	3163
68	231	3126
69	232	3091
70	233	3058
71	234	3026
72	235	2995
73	236	2965
74	237	2933
75	238	2903
76	239	2874
77	240	2846
78	241	2820
79	243	2794
80	244	2770
81	245	2743
82	245	2714
83	246	2690
84	247	2668
85	248	2645
86	250	2624
87	251	2603
88	252	2581
89	253	2560
90	254	2540
91	255	2519
92	256	2501
93	258	2488
94	259	2469
95	260	2452
96	261	2433
97	262	2416
98	263	2399
99	264	2382
100	266	2367
101	267	2351
102	268	2334
103	269	2317
104	270	2303
105	271	2287
106	272	2271
107	273	2256
108	274	2242
109	275	2229
110	276	2216
111	277	2202
112	278	2188
113	280	2177
114	281	2164
115	282	2153
116	283	2138
117	284	2125
118	285	2112
119	286	2099
120	287	2088
121	288	2075
122	289	2064
123	290	2052
124	291	2040
125	292	2029
126	293	2018
127	294	2007
128	295	1998
129	297	1987
130	297	1976
131	299	1966
132	300	1956
133	301	1948
134	302	1939
135	303	1929
136	304	1919
137	306	1911
138	307	1902
139	308	1894
140	309	1887
141	310	1878
142	312	1870
143	313	1862
144	314	1853
145	315	1846
146	316	1838
147	317	1829
148	319	1822
149	320	1814
150	321	1806
151	322	1797
152	323	1791
153	324	1784
154	325	1776
155	327	1770
156	328	1763
157	329	1756
158	330	1749
159	332	1743
160	332	1734
161	333	1726
162	334	1719
163	335	1711
164	336	1704
165	338	1699
166	339	1692
167	340	1686
168	342	1682
169	343	1676
170	344	1671
171	345	1664
172	347	1659
173	348	1653
174	349	1647
175	350	1641
176	351	1635
177	353	1631
178	354	1626
179	355	1621
180	357	1615
181	358	1610
182	359	1605
183	361	1600
184	362	1595
185	363	1590
186	364	1584
187	365	1578
188	366	1572
189	367	1566
190	368	1561
191	370	1557
192	371	1553
193	373	1550
194	374	1544
195	375	1540
196	376	1535
197	377	1529
198	379	1526
199	380	1520
200	381	1516
201	382	1511
202	383	1506
203	384	1502
204	386	1497
205	387	1493
206	388	1488
207	389	1484
208	390	1479
209	392	1475
210	393	1470
211	394	1465
212	395	1460
213	396	1455
214	397	1450
215	398	1446
216	399	1442
217	401	1439
218	402	1434
219	403	1430
220	404	1426
221	405	1422
222	406	1418
223	408	1413
224	409	1409
225	410	1405
226	411	1401
227	412	1398
228	414	1394
229	415	1390
230	416	1386
231	418	1384
232	419	1380
233	420	1377
234	422	1374
235	423	1369
236	424	1365
237	425	1361
238	426	1357
239	427	1354
240	428	1350
241	430	1347
242	431	1344
243	432	1341
244	433	1337
245	435	1334
246	436	1331
247	437	1327
248	439	1324
249	440	1321
250	441	1318
251	442	1314
252	444	1312
253	445	1308
254	447	1306
255	448	1303
256	450	1301
257	451	1297
258	452	1294
259	453	1291
260	454	1287
261	455	1284
262	457	1281
263	458	1277
264	459	1275
265	460	1271
266	462	1269
267	463	1266
268	465	1263
269	466	1260
270	467	1256
271	468	1254
272	469	1250
273	470	1247
274	471	1244
275	473	1241
276	474	1239
277	476	1236
278	477	1233
279	478	1230
280	479	1227
281	481	1225
282	482	1222
283	483	1219
284	484	1216
285	485	1212
286	486	1209
287	488	1206
288	489	1203
289	490	1201
290	491	1198
291	493	1195
292	494	1193
293	495	1190
294	496	1187
295	498	1184
296	499	1181
297	500	1178
298	501	1176
299	503	1173
300	504	1171
301	505	1168
302	507	1166
303	508	1164
304	509	1161
305	510	1158
306	512	1156
307	513	1153
308	514	1150
309	515	1147
310	516	1144
311	518	1142
312	519	1139
313	520	1137
314	521	1135
315	523	1132
316	524	1130
317	525	1127
318	527	1125
319	528	1122
320	529	1119
321	530	1116
322	531	1114
323	533	1112
324	534	1109
325	535	1107
326	536	1105
327	538	1102
328	539	1100
329	540	1098
330	541	1095
331	543	1092
332	544	1090
333	545	1088
334	546	1085
335	547	1082
336	549	1080
337	550	1078
338	552	1076
339	553	1073
340	554	1071
341	555	1068
342	556	1066
343	557	1063
344	559	1061
345	560	1059
346	561	1057
347	563	1054
348	564	1052
349	565	1049
350	566	1047
351	567	1044
352	568	1042
353	570	1040
354	571	1038
355	572	1036
356	574	1034
357	575	1032
358	577	1030
359	578	1028
360	579	1026
361	581	1024
362	582	1022
363	583	1020
364	584	1017
365	585	1015
366	587	1012
367	588	1010
368	589	1007
369	590	1005
370	591	1003
371	593	1001
372	594	999
373	596	997
374	597	995
375	598	992
376	599	990
377	600	987
378	601	985
379	602	983
380	603	980
381	604	978
382	605	976
383	607	974
384	608	971
385	609	969
386	610	967
387	612	965
388	613	963
389	614	961
390	615	958
391	616	956
392	617	953
393	618	951
394	620	949
395	620	947
396	622	945
397	623	943
398	624	941
399	625	938
400	626	936
401	628	934
402	629	932
403	630	929
404	631	927
405	632	925
406	633	923
407	634	920
408	635	918
409	636	916
410	638	914
411	639	912
412	640	910
413	641	908
